timestamp_ms,gpu_util,mem_util,mem_used,mem_total
521802,0,0,16294739968,42949672960
521812,0,0,16294739968,42949672960
521822,0,0,16294739968,42949672960
521832,0,0,16294739968,42949672960
521842,0,0,16294739968,42949672960
521852,0,0,16294739968,42949672960
521862,0,0,16294739968,42949672960
521872,0,0,16294739968,42949672960
521882,0,0,16294739968,42949672960
521892,0,0,16294739968,42949672960
521902,0,0,16294739968,42949672960
521912,0,0,16294739968,42949672960
521922,0,0,16294739968,42949672960
521932,0,0,16294739968,42949672960
521942,0,0,16294739968,42949672960
521952,0,0,16294739968,42949672960
521962,0,0,16294739968,42949672960
521972,0,0,16294739968,42949672960
521982,0,0,16294739968,42949672960
521992,0,0,16294739968,42949672960
522002,0,0,16294739968,42949672960
522012,0,0,16294739968,42949672960
522022,0,0,16294739968,42949672960
522032,0,0,16294739968,42949672960
522042,0,0,16294739968,42949672960
522052,0,0,16294739968,42949672960
522062,0,0,16294739968,42949672960
522072,0,0,16294739968,42949672960
522082,0,0,16294739968,42949672960
522092,0,0,16294739968,42949672960
522102,0,0,16294739968,42949672960
522112,0,0,16294739968,42949672960
522122,0,0,16294739968,42949672960
522132,0,0,16294739968,42949672960
522142,0,0,16294739968,42949672960
522152,0,0,16294739968,42949672960
522162,0,0,16294739968,42949672960
522172,0,0,16294739968,42949672960
522182,0,0,16294739968,42949672960
522192,0,0,16294739968,42949672960
522202,0,0,16294739968,42949672960
522212,0,0,16294739968,42949672960
522222,0,0,16294739968,42949672960
522232,0,0,16294739968,42949672960
522242,0,0,16294739968,42949672960
522252,0,0,16294739968,42949672960
522262,0,0,16294739968,42949672960
522272,0,0,16294739968,42949672960
522282,0,0,16294739968,42949672960
522292,0,0,16294739968,42949672960
522302,0,0,16294739968,42949672960
522312,0,0,16294739968,42949672960
522322,0,0,16294739968,42949672960
522332,0,0,16294739968,42949672960
522342,0,0,16294739968,42949672960
522352,0,0,16294739968,42949672960
522362,0,0,16294739968,42949672960
522372,0,0,16294739968,42949672960
522382,0,0,16294739968,42949672960
522392,0,0,16294739968,42949672960
522402,0,0,16294739968,42949672960
522412,0,0,16294739968,42949672960
522422,0,0,16294739968,42949672960
522432,0,0,16294739968,42949672960
522442,0,0,16294739968,42949672960
522452,0,0,16294739968,42949672960
522462,0,0,16294739968,42949672960
522472,0,0,16294739968,42949672960
522482,0,0,16294739968,42949672960
522492,0,0,16294739968,42949672960
522502,0,0,16294739968,42949672960
522512,0,0,16294739968,42949672960
522522,0,0,16294739968,42949672960
522532,0,0,16294739968,42949672960
522542,0,0,16294739968,42949672960
522552,0,0,16294739968,42949672960
522562,0,0,16294739968,42949672960
522572,0,0,16294739968,42949672960
522582,0,0,16294739968,42949672960
