timestamp_ms,gpu_util,mem_util,mem_used,mem_total
245954,32,3,13425836032,42949672960
245964,32,3,13425836032,42949672960
245974,32,3,13507624960,42949672960
245984,32,3,13507624960,42949672960
245994,32,3,13507624960,42949672960
246004,32,3,13507624960,42949672960
246016,32,3,13507624960,42949672960
246024,32,3,13507624960,42949672960
246034,32,3,13507624960,42949672960
246044,32,3,13425836032,42949672960
246054,32,3,13555859456,42949672960
246064,32,3,13555859456,42949672960
246074,32,3,13702660096,42949672960
246084,32,3,13637648384,42949672960
246094,32,3,13637648384,42949672960
246104,32,3,13637648384,42949672960
246114,32,3,13637648384,42949672960
246124,32,3,13637648384,42949672960
246134,32,3,13637648384,42949672960
246144,100,22,13637648384,42949672960
246154,100,22,13637648384,42949672960
246164,100,22,13637648384,42949672960
246174,100,22,13637648384,42949672960
246184,100,22,13637648384,42949672960
246194,100,22,13555859456,42949672960
246204,100,22,13555859456,42949672960
246214,100,22,13637648384,42949672960
246224,100,22,13637648384,42949672960
246234,100,22,13637648384,42949672960
246244,100,22,13637648384,42949672960
246254,100,22,13637648384,42949672960
246264,100,22,13555859456,42949672960
246274,100,22,13555859456,42949672960
246285,100,22,13555859456,42949672960
246294,100,22,13637648384,42949672960
246304,100,22,13637648384,42949672960
246314,100,22,13637648384,42949672960
246324,100,22,13637648384,42949672960
246334,100,22,13637648384,42949672960
246344,100,17,13551665152,42949672960
246354,100,17,13555859456,42949672960
246364,100,17,13637648384,42949672960
246374,100,17,13637648384,42949672960
246384,100,17,13637648384,42949672960
246394,100,17,13637648384,42949672960
246404,100,17,13637648384,42949672960
246414,100,17,13555859456,42949672960
246424,100,17,13555859456,42949672960
246435,100,17,13555859456,42949672960
246444,100,17,13637648384,42949672960
246454,100,17,13637648384,42949672960
246464,100,17,13637648384,42949672960
246474,100,17,13637648384,42949672960
246484,100,17,13637648384,42949672960
246494,100,17,13551665152,42949672960
246504,100,17,13551665152,42949672960
246514,100,17,13551665152,42949672960
246524,100,17,13551665152,42949672960
246534,100,17,13551665152,42949672960
246544,100,21,13551665152,42949672960
246554,100,21,13551665152,42949672960
246564,100,21,13551665152,42949672960
246574,100,21,13551665152,42949672960
246584,100,21,13551665152,42949672960
246594,100,21,13551665152,42949672960
246604,100,21,13551665152,42949672960
246614,100,21,13551665152,42949672960
246624,100,21,13551665152,42949672960
246634,100,21,14434566144,42949672960
246644,100,21,15191638016,42949672960
246654,100,21,13551665152,42949672960
246664,100,21,14166130688,42949672960
246674,100,21,14187102208,42949672960
246684,100,21,14187102208,42949672960
246695,100,21,14189199360,42949672960
246704,100,21,14218559488,42949672960
246714,100,21,14247919616,42949672960
246724,100,21,14279376896,42949672960
246734,100,21,14308737024,42949672960
246744,100,12,14340194304,42949672960
246754,100,12,14369554432,42949672960
246764,100,12,14401011712,42949672960
246774,100,12,14430371840,42949672960
246784,100,12,14461829120,42949672960
246794,100,12,14493286400,42949672960
246804,100,12,14522646528,42949672960
246814,100,12,14554103808,42949672960
246824,100,12,14583463936,42949672960
246834,100,12,14614921216,42949672960
246844,100,12,14644281344,42949672960
246854,100,12,14675738624,42949672960
246864,100,12,14705098752,42949672960
246874,100,12,14736556032,42949672960
246884,100,12,14765916160,42949672960
246894,100,12,14795276288,42949672960
246904,100,12,14826733568,42949672960
246914,100,12,14856093696,42949672960
246924,100,12,14887550976,42949672960
246934,100,12,14241628160,42949672960
246944,61,8,14073856000,42949672960
246954,61,8,13908180992,42949672960
246964,61,8,13738311680,42949672960
246974,61,8,13574733824,42949672960
246984,61,8,13610385408,42949672960
246994,61,8,13610385408,42949672960
247004,61,8,13528596480,42949672960
247014,61,8,13528596480,42949672960
247024,61,8,13528596480,42949672960
247035,61,8,13528596480,42949672960
247044,61,8,13610385408,42949672960
247054,61,8,13610385408,42949672960
247064,61,8,13610385408,42949672960
247074,61,8,13610385408,42949672960
247084,61,8,13610385408,42949672960
247094,61,8,13610385408,42949672960
247104,61,8,13610385408,42949672960
247114,61,8,13528596480,42949672960
247124,61,8,13528596480,42949672960
247134,61,8,13528596480,42949672960
247144,36,4,13610385408,42949672960
247154,36,4,13610385408,42949672960
247164,36,4,13610385408,42949672960
247174,36,4,13610385408,42949672960
247184,36,4,13610385408,42949672960
247194,36,4,13610385408,42949672960
247204,36,4,13610385408,42949672960
247214,36,4,13610385408,42949672960
247224,36,4,13610385408,42949672960
247234,36,4,13528596480,42949672960
247244,36,4,13528596480,42949672960
247254,36,4,13654425600,42949672960
247264,36,4,13658619904,42949672960
247274,36,4,13719437312,42949672960
247284,36,4,13740408832,42949672960
247294,36,4,13740408832,42949672960
247304,36,4,13740408832,42949672960
247314,36,4,13740408832,42949672960
247324,36,4,13740408832,42949672960
247334,36,4,13658619904,42949672960
247344,100,22,13658619904,42949672960
247354,100,22,13658619904,42949672960
247364,100,22,13740408832,42949672960
247374,100,22,13740408832,42949672960
247384,100,22,13740408832,42949672960
247394,100,22,13740408832,42949672960
247404,100,22,13740408832,42949672960
247414,100,22,13740408832,42949672960
247424,100,22,13740408832,42949672960
247434,100,22,13654425600,42949672960
247444,100,22,13658619904,42949672960
247454,100,22,13658619904,42949672960
247464,100,22,13740408832,42949672960
247474,100,22,13740408832,42949672960
247484,100,22,13740408832,42949672960
247494,100,22,13740408832,42949672960
247504,100,22,13740408832,42949672960
247514,100,22,13740408832,42949672960
247524,100,22,13740408832,42949672960
247534,100,22,13740408832,42949672960
247544,100,17,13740408832,42949672960
247554,100,17,13654425600,42949672960
247564,100,17,13658619904,42949672960
247575,100,17,13658619904,42949672960
247584,100,17,13740408832,42949672960
247594,100,17,13740408832,42949672960
247604,100,17,13740408832,42949672960
247614,100,17,13740408832,42949672960
247624,100,17,13740408832,42949672960
247634,100,17,13740408832,42949672960
247644,100,17,13740408832,42949672960
247654,100,17,13658619904,42949672960
247664,100,17,13654425600,42949672960
247674,100,17,13658619904,42949672960
247684,100,17,13658619904,42949672960
247694,100,17,13740408832,42949672960
247704,100,17,13654425600,42949672960
247714,100,17,13654425600,42949672960
247724,100,17,13654425600,42949672960
247734,100,17,13654425600,42949672960
247744,100,22,13654425600,42949672960
247754,100,22,13654425600,42949672960
247764,100,22,13654425600,42949672960
247774,100,22,13654425600,42949672960
247784,100,22,13654425600,42949672960
247794,100,22,13654425600,42949672960
247804,100,22,13654425600,42949672960
247814,100,22,13654425600,42949672960
247824,100,22,13654425600,42949672960
247834,100,22,14539423744,42949672960
247844,100,22,15294398464,42949672960
247854,100,22,14268891136,42949672960
247864,100,22,14289862656,42949672960
247874,100,22,14289862656,42949672960
247884,100,22,14296154112,42949672960
247894,100,22,14325514240,42949672960
247904,100,22,14354874368,42949672960
247914,100,22,14382137344,42949672960
247924,100,22,14413594624,42949672960
247934,100,22,14442954752,42949672960
247944,100,11,14472314880,42949672960
247954,100,11,14503772160,42949672960
247964,100,11,14533132288,42949672960
247974,100,11,14562492416,42949672960
247984,100,11,14593949696,42949672960
247994,100,11,14623309824,42949672960
248004,100,11,14652669952,42949672960
248014,100,11,14684127232,42949672960
248024,100,11,14713487360,42949672960
248034,100,11,14740750336,42949672960
248044,100,11,14770110464,42949672960
248054,100,11,14797373440,42949672960
248064,100,11,14826733568,42949672960
248074,100,11,14856093696,42949672960
248084,100,11,14883356672,42949672960
248094,100,11,14912716800,42949672960
248104,100,11,14944174080,42949672960
248114,100,11,14973534208,42949672960
248124,100,11,15002894336,42949672960
248134,100,11,15032254464,42949672960
248144,57,8,14277279744,42949672960
248154,57,8,14109507584,42949672960
248164,57,8,13943832576,42949672960
248174,57,8,13769768960,42949672960
248184,57,8,13687980032,42949672960
248194,57,8,13769768960,42949672960
248204,57,8,13769768960,42949672960
248214,57,8,13769768960,42949672960
248224,57,8,13769768960,42949672960
248234,57,8,13769768960,42949672960
248244,57,8,13687980032,42949672960
248254,57,8,13687980032,42949672960
248265,57,8,13687980032,42949672960
248274,57,8,13769768960,42949672960
248284,57,8,13769768960,42949672960
248294,57,8,13769768960,42949672960
248304,57,8,13769768960,42949672960
248314,57,8,13769768960,42949672960
248324,57,8,13769768960,42949672960
248334,57,8,13687980032,42949672960
248344,57,8,13683785728,42949672960
248354,39,5,13687980032,42949672960
248364,39,5,13769768960,42949672960
248374,39,5,13769768960,42949672960
248384,39,5,13769768960,42949672960
248394,39,5,13769768960,42949672960
248404,39,5,13769768960,42949672960
248414,39,5,13769768960,42949672960
248424,39,5,13769768960,42949672960
248434,39,5,13687980032,42949672960
248444,39,5,13683785728,42949672960
248454,39,5,13899792384,42949672960
248464,39,5,13899792384,42949672960
248474,39,5,13818003456,42949672960
248484,39,5,13818003456,42949672960
248494,39,5,13818003456,42949672960
248504,39,5,13818003456,42949672960
248514,39,5,13899792384,42949672960
248524,39,5,13899792384,42949672960
248534,39,5,13818003456,42949672960
248544,39,5,13899792384,42949672960
